Harga Produk,Jumlah Terjual,Jumlah Ulasan,Kategori,Nama Produk,Nama Toko,Rating,Rating Produk,Rating Toko,Tanggal Komentar,Teks Ulasan,Username
Rp119.999,12,0,Home > Fashion Pria > Atasan Pria > Kemeja Pria,Erigo Basic Long Sleeve Shirt Bany Light Grey - Kemeja Lengan Panjang Oxford Unisex - M,Erigo Store,-,5,-,-,-,-
Rp74.000,80+,14,Home > Fashion Pria > Atasan Pria > Kaos Pria,Erigo T-Shirt Ring Tee Windell Cream - Kaos Unisex - M,Erigo Store,5,4.9,-,-,Bagus ngga pernah gagalll,R***3
Rp74.000,80+,14,Home > Fashion Pria > Atasan Pria > Kaos Pria,Erigo T-Shirt Ring Tee Windell Cream - Kaos Unisex - M,Erigo Store,5,4.9,-,-,"ukuran pas, warna bagus",M***d
Rp74.000,80+,14,Home > Fashion Pria > Atasan Pria > Kaos Pria,Erigo T-Shirt Ring Tee Windell Cream - Kaos Unisex - M,Erigo Store,5,4.9,-,-,Bagus dan mantap,T***S
Rp74.000,80+,14,Home > Fashion Pria > Atasan Pria > Kaos Pria,Erigo T-Shirt Ring Tee Windell Cream - Kaos Unisex - M,Erigo Store,5,4.9,-,-,Sesuai,S***y
Rp74.000,80+,14,Home > Fashion Pria > Atasan Pria > Kaos Pria,Erigo T-Shirt Ring Tee Windell Cream - Kaos Unisex - M,Erigo Store,5,4.9,-,-,Bagus,b***9
Rp74.000,80+,14,Home > Fashion Pria > Atasan Pria > Kaos Pria,Erigo T-Shirt Ring Tee Windell Cream - Kaos Unisex - M,Erigo Store,5,4.9,-,-,oke,r***¸
Rp74.000,80+,14,Home > Fashion Pria > Atasan Pria > Kaos Pria,Erigo T-Shirt Ring Tee Windell Cream - Kaos Unisex - M,Erigo Store,5,4.9,-,-,This.,B***a
Rp74.000,80+,14,Home > Fashion Pria > Atasan Pria > Kaos Pria,Erigo T-Shirt Ring Tee Windell Cream - Kaos Unisex - M,Erigo Store,5,4.9,-,-,Baik,M***i
Rp74.000,80+,14,Home > Fashion Pria > Atasan Pria > Kaos Pria,Erigo T-Shirt Ring Tee Windell Cream - Kaos Unisex - M,Erigo Store,5,4.9,-,-,Mantap,T***S
Rp74.000,80+,14,Home > Fashion Pria > Atasan Pria > Kaos Pria,Erigo T-Shirt Ring Tee Windell Cream - Kaos Unisex - M,Erigo Store,5,4.9,-,-,Suka,r***i
